,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL
8,Bay Area Toll Authority Oversight Committee,4/11/2007,,,"Joseph P. Bort Metro Center Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, CA 94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438991&GUID=FB735835-EFE2-4A4B-B44C-61EEADC0350D,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438991&GUID=FB735835-EFE2-4A4B-B44C-61EEADC0350D&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438991&GUID=FB735835-EFE2-4A4B-B44C-61EEADC0350D,,
9,Bay Area Partnership Board,4/10/2007,,,"Preservation Park, Nile Hall
668 – 13th Street, Oakland, CA",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438990&GUID=D08523DB-ACE7-4673-926B-F15BD29E546C,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438990&GUID=D08523DB-ACE7-4673-926B-F15BD29E546C&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438990&GUID=D08523DB-ACE7-4673-926B-F15BD29E546C,,
10,Translink Management Group and TransLink Operating Group,4/9/2007,,,"BART
300 Lakeside Drive
23rd Floor Main Conference Room
Oakland",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=447996&GUID=F4DE8E06-E302-4F60-B244-9DA59D16435F,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=447996&GUID=F4DE8E06-E302-4F60-B244-9DA59D16435F&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=447996&GUID=F4DE8E06-E302-4F60-B244-9DA59D16435F,,
11,Metropolitan Transportation Commission,3/28/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California 94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438986&GUID=6245E32A-7B5B-4BF3-87D0-CEEF45B91D98,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438986&GUID=6245E32A-7B5B-4BF3-87D0-CEEF45B91D98&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438986&GUID=6245E32A-7B5B-4BF3-87D0-CEEF45B91D98,,
12,Bay Area Toll Authority,3/28/2007,,,"Lawrence D. Dahms Auditorium
101 8th Street, 1st Floor
Oakland, CA  94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438985&GUID=8B320689-454C-4542-B5D0-754C85592318,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438985&GUID=8B320689-454C-4542-B5D0-754C85592318&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438985&GUID=8B320689-454C-4542-B5D0-754C85592318,,
13,Partnership Technical Advisory Committee,3/19/2007,,,"Alameda County Congestion Management Agency
Board Room
1333 Broadway, Suite 220
Oakland, CA(Note: New Meeting Location)",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438984&GUID=184A3E38-565A-4393-AA7E-BEC6E5ED40DB,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438984&GUID=184A3E38-565A-4393-AA7E-BEC6E5ED40DB&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438984&GUID=184A3E38-565A-4393-AA7E-BEC6E5ED40DB,,
14,Translink Management Group and TransLink Operating Group,3/12/2007,,,"SF MTA
1 South Van Ness Avenue
3rd Floor Conference Room, #3074
San Francisco, CA",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=447995&GUID=1A9C4C2D-26B5-449A-96D3-AF7345602846,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=447995&GUID=1A9C4C2D-26B5-449A-96D3-AF7345602846&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=447995&GUID=1A9C4C2D-26B5-449A-96D3-AF7345602846,,
15,Legislation Committee,3/9/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438982&GUID=398225C6-D794-46CD-9BA7-7A94E7C44B8B,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438982&GUID=398225C6-D794-46CD-9BA7-7A94E7C44B8B&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438982&GUID=398225C6-D794-46CD-9BA7-7A94E7C44B8B,,
16,Planning Committee,3/9/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 8th Street
Oakland, CA  94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438983&GUID=E2D70FFB-FAC5-472F-B8B3-E0796AF1A898,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438983&GUID=E2D70FFB-FAC5-472F-B8B3-E0796AF1A898&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438983&GUID=E2D70FFB-FAC5-472F-B8B3-E0796AF1A898,,
17,Administration Committee,3/7/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, Californiaor immediately following the 9:30 AM BATA Oversight Committee Meeting, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438980&GUID=C4B484CE-6DCC-4C16-A6E7-3FF9BFB24797,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438980&GUID=C4B484CE-6DCC-4C16-A6E7-3FF9BFB24797&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438980&GUID=C4B484CE-6DCC-4C16-A6E7-3FF9BFB24797,,
18,Programming and Allocations Committee,3/7/2007,,,"Joseph P. Bort MetroCenter Lawrence D. Dahms Auditorium 101 Eighth Street 
Oakland, California 94607Immediately following the Administration Committee, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438981&GUID=7F9535C9-898C-4CDD-A9CF-883546937C58,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438981&GUID=7F9535C9-898C-4CDD-A9CF-883546937C58&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438981&GUID=7F9535C9-898C-4CDD-A9CF-883546937C58,,
19,Bay Area Toll Authority Oversight Committee,3/7/2007,,,"Joseph P. Bort Metro Center Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, CA 94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438979&GUID=5025DC5F-0566-44A6-A83F-69DA10093F0D,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438979&GUID=5025DC5F-0566-44A6-A83F-69DA10093F0D&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438979&GUID=5025DC5F-0566-44A6-A83F-69DA10093F0D,,
20,Metropolitan Transportation Commission,2/28/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California 94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438977&GUID=8B4BDEE1-BD2D-43FD-B070-6BC23B15E4F5,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438977&GUID=8B4BDEE1-BD2D-43FD-B070-6BC23B15E4F5&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438977&GUID=8B4BDEE1-BD2D-43FD-B070-6BC23B15E4F5,,
21,Bay Area Toll Authority,2/28/2007,,,"Lawrence D. Dahms Auditorium
101 8th Street, 1st Floor
Oakland, CA  94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438978&GUID=0624A93F-6E97-406F-B782-BE83B65F3032,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438978&GUID=0624A93F-6E97-406F-B782-BE83B65F3032&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438978&GUID=0624A93F-6E97-406F-B782-BE83B65F3032,,
22,Partnership Technical Advisory Committee,2/26/2007,,,"MetroCenter Ground Floor, Auditorium
101 Eighth Street, Oakland, CA",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438975&GUID=09B1EEDD-467A-4872-869F-70545CD4B5A4,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438975&GUID=09B1EEDD-467A-4872-869F-70545CD4B5A4&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438975&GUID=09B1EEDD-467A-4872-869F-70545CD4B5A4,,
23,Air Quality Conformity Task Force,2/23/2007,,,"Metropolitan Transportation Commission
Joseph P. Bort MetroCenter
Claremont Conference Room – Second Floor
(Check in with 3rd Floor Receptionist Before Proceeding to 2nd Floor)
101 Eighth Street, Oakland",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438976&GUID=AA224AF5-FC80-4FDB-8225-8E6D8B7FD6E6,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438976&GUID=AA224AF5-FC80-4FDB-8225-8E6D8B7FD6E6&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438976&GUID=AA224AF5-FC80-4FDB-8225-8E6D8B7FD6E6,,
24,Translink Management Group and TransLink Operating Group,2/23/2007,,,"Metropolitan Transportation Commission
Teleconference

Participation in this TransLink® Operating Group meeting will be via teleconference, pursuant to California Government Code §54953.  The dial in number is 1-866-424-4262.  You will be prompted for",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=447994&GUID=E06EBE9E-260E-427A-A887-6F601E0BB377,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=447994&GUID=E06EBE9E-260E-427A-A887-6F601E0BB377&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=447994&GUID=E06EBE9E-260E-427A-A887-6F601E0BB377,,
25,Programming and Allocations Committee,2/14/2007,,,"Joseph P. Bort MetroCenter Lawrence D. Dahms Auditorium 101 Eighth Street 
Oakland, California 94607Immediately following the Administration Committee, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438974&GUID=9A0805A4-7492-437D-A4A9-D1820293F559,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438974&GUID=9A0805A4-7492-437D-A4A9-D1820293F559&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438974&GUID=9A0805A4-7492-437D-A4A9-D1820293F559,,
26,Administration Committee,2/14/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, Californiaor immediately following the 9:30 AM BATA Oversight Committee Meeting, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438968&GUID=C67C1473-2445-45DE-AE61-01F3C09C64A6,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438968&GUID=C67C1473-2445-45DE-AE61-01F3C09C64A6&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438968&GUID=C67C1473-2445-45DE-AE61-01F3C09C64A6,,
27,Bay Area Toll Authority Oversight Committee,2/14/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, CA 94607or immediately following the Special Commission Meeting",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438973&GUID=E6650A9C-539F-4392-B1C1-F3E14C1C5B86,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438973&GUID=E6650A9C-539F-4392-B1C1-F3E14C1C5B86&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438973&GUID=E6650A9C-539F-4392-B1C1-F3E14C1C5B86,,
28,Metropolitan Transportation Commission,2/14/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California 94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438972&GUID=5AC8C222-38E5-4BEE-AF20-7B8BB112A5AE,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438972&GUID=5AC8C222-38E5-4BEE-AF20-7B8BB112A5AE&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438972&GUID=5AC8C222-38E5-4BEE-AF20-7B8BB112A5AE,,
29,Translink Management Group and TransLink Operating Group,2/12/2007,,,"MTC 
101 8th Street
3rd Floor Fishbowl Conference Room
Oakland",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=447993&GUID=EF24808A-0829-451F-B04F-9E2A29FCFE7C,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=447993&GUID=EF24808A-0829-451F-B04F-9E2A29FCFE7C&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=447993&GUID=EF24808A-0829-451F-B04F-9E2A29FCFE7C,,
30,Legislation Committee,2/9/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438969&GUID=6CE8EA4B-71D5-498B-B8CE-55C65C77ACD8,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438969&GUID=6CE8EA4B-71D5-498B-B8CE-55C65C77ACD8&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438969&GUID=6CE8EA4B-71D5-498B-B8CE-55C65C77ACD8,,
31,Operations Committee,2/9/2007,,,"Joseph P. Bort MetroCenterLawrence D. Dahms Auditorium101 Eighth StreetOakland, CA  94607or immediately following the 9:30 a.m. Planning Committee Meeting, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438971&GUID=00B1F49C-478D-4647-808D-555FD9A06A53,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438971&GUID=00B1F49C-478D-4647-808D-555FD9A06A53&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438971&GUID=00B1F49C-478D-4647-808D-555FD9A06A53,,
32,Planning Committee,2/9/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 8th Street
Oakland, CA  94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438970&GUID=3A6A55D1-7BDE-4F88-A9DD-C3BDC8299505,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438970&GUID=3A6A55D1-7BDE-4F88-A9DD-C3BDC8299505&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438970&GUID=3A6A55D1-7BDE-4F88-A9DD-C3BDC8299505,,
33,EDAC Working Group,2/1/2007,,,,Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=447905&GUID=222C3B2D-F70C-487A-A6F2-1EF38A5F3A3E,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=447905&GUID=222C3B2D-F70C-487A-A6F2-1EF38A5F3A3E&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=447905&GUID=222C3B2D-F70C-487A-A6F2-1EF38A5F3A3E,,
34,Metropolitan Transportation Commission,1/24/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California 94607or immediately after the 10:00 a.m. BATA meeting whichever occurs later",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438966&GUID=D0718CFF-1B64-4F66-99C7-08C18DC2AF66,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438966&GUID=D0718CFF-1B64-4F66-99C7-08C18DC2AF66&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438966&GUID=D0718CFF-1B64-4F66-99C7-08C18DC2AF66,,
35,Air Quality Conformity Task Force,1/24/2007,,,"Metropolitan Transportation Commission
Joseph P. Bort MetroCenter
Rockridge Conference Room – Second Floor(Check in with 3rd Floor Receptionist Before Proceeding to 2nd Floor)
101 Eighth Street
Oakland",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438965&GUID=E40977DB-493A-4E2F-A00F-7C809BBB7055,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438965&GUID=E40977DB-493A-4E2F-A00F-7C809BBB7055&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438965&GUID=E40977DB-493A-4E2F-A00F-7C809BBB7055,,
36,Bay Area Toll Authority,1/24/2007,,,"Lawrence D. Dahms Auditorium
101 8th Street, 1st Floor
Oakland, CA  94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438967&GUID=C1B4C811-6C15-4E55-866F-CA072186E1D7,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438967&GUID=C1B4C811-6C15-4E55-866F-CA072186E1D7&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438967&GUID=C1B4C811-6C15-4E55-866F-CA072186E1D7,,
37,Partnership Technical Advisory Committee,1/22/2007,,,"MetroCenter Ground Floor, Auditorium
101 Eighth Street, Oakland, CA",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438963&GUID=27803F50-39B7-49F6-9EE1-283A5474914E,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438963&GUID=27803F50-39B7-49F6-9EE1-283A5474914E&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438963&GUID=27803F50-39B7-49F6-9EE1-283A5474914E,,
38,Legislation Committee,1/12/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438962&GUID=954FAE93-D7FC-4DBB-AB6D-1F54EBF8035E,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438962&GUID=954FAE93-D7FC-4DBB-AB6D-1F54EBF8035E&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438962&GUID=954FAE93-D7FC-4DBB-AB6D-1F54EBF8035E,,
39,Operations Committee,1/12/2007,,,"Joseph P. Bort MetroCenterLawrence D. Dahms Auditorium101 Eighth StreetOakland, CA  94607or immediately following the 9:30 a.m. Planning Committee Meeting, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438961&GUID=1C91D58D-FDA9-4CFD-845E-BED11C316EFB,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438961&GUID=1C91D58D-FDA9-4CFD-845E-BED11C316EFB&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438961&GUID=1C91D58D-FDA9-4CFD-845E-BED11C316EFB,,
40,Planning Committee,1/12/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 8th Street
Oakland, CA  94607",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438964&GUID=EE3F348C-A7E6-4E2E-A323-AA432C573FE8,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438964&GUID=EE3F348C-A7E6-4E2E-A323-AA432C573FE8&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438964&GUID=EE3F348C-A7E6-4E2E-A323-AA432C573FE8,,
41,Metropolitan Transportation Commission,1/10/2007,,,"Joseph P. Bort MetroCenter
Lawrence D. Dahms Auditorium
101 Eighth Street
Oakland, California 94607Immediately after the 10:15 a.m. PAC meeting whichever occurs later",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438959&GUID=392E97B7-1A46-4BE8-8851-EADCFEC37E00,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438959&GUID=392E97B7-1A46-4BE8-8851-EADCFEC37E00&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438959&GUID=392E97B7-1A46-4BE8-8851-EADCFEC37E00,,
42,Programming and Allocations Committee,1/10/2007,,,"Joseph P. Bort MetroCenter Lawrence D. Dahms Auditorium 101 Eighth Street 
Oakland, California 94607Immediately following the Administration Committee, whichever occurs later.",Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=438957&GUID=47132A23-4DB5-40C4-AC9C-93011770CDC0,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=438957&GUID=47132A23-4DB5-40C4-AC9C-93011770CDC0&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=438957&GUID=47132A23-4DB5-40C4-AC9C-93011770CDC0,,
